job_cluster,skills_filtered,job_level,job_title
Accounting Operations,"['accounting', 'finance', 'accounts payable', 'accounts receivable', 'general ledger', 'purchasing', 'payroll', 'hr', 'data collection', 'data compilation', 'budgeting', 'reporting', 'financial audits', 'financial statements', 'budget preparation', 'budget monitoring', 'financial reconciliation', 'communication', 'diplomacy', 'professionalism', 'data analysis', 'communication', 'communication', 'computer proficiency', 'software proficiency', 'record keeping', 'reporting', 'public speaking', 'communication', 'problem solving', 'stress management', 'time management', 'communication', 'communication', 'reading comprehension', 'communication', 'critical thinking', 'problem solving', 'independent work', 'teamwork']",Mid senior,Accountant
Attention to Detail,"['audit', 'statutory audits', 'yearend accounts', 'client relationship management', 'business development', 'networking', 'attention to detail', 'problem solving', 'workload management', 'communication', 'advisory', 'supervisory', 'mentoring', 'motivation', 'personal development']",Mid senior,Audit Senior
Attention to Detail,"['business analysis', 'financial modeling', 'data analysis', 'financial planning', 'budget', 'forecasting', 'accounting', 'finance', 'excel', 'powerpoint', 'microsoft office', 'presentation', 'communication', 'strong analytical', 'problem solving', 'critical thinking', 'initiative', 'selfdirected', 'agile', 'fastpaced', 'attention to detail', 'accuracy', 'compliance', 'controls', 'intellectual curiosity']",Associate,Senior Financial Analyst
Financial Reporting,"['accounting', 'finance', 'gaap', 'budgeting', 'auditing', 'tax preparation', 'financial reporting', 'grant management', 'revenue management', 'billing', 'vendor management', 'purchasing', 'accounting software', 'spreadsheets', 'word processing', 'computer literacy', 'writing', 'communication', 'teamwork', 'problem solving', 'initiative', 'goal setting', 'leadership', 'physical stamina', 'vision']",Mid senior,Accountant II
Financial Analysis,"['accounting', 'financial analysis', 'budget management', 'financial statement preparation', 'internal control maintenance', 'regulatory reporting', 'audit preparation', 'analytical skills', 'communication', 'gaap', 'cost accounting', 'balance sheet reconciliation', 'cash flow analysis', 'journal entries', 'reconciliations', 'reports', 'babs in accounting', 'strong written and verbal communication', 'ability to work independently']",Mid senior,Sr. Accountant
Financial Reporting,"['product costing', 'cost analysis', 'inventory analysis', 'financial reporting', 'budget planning', 'pricing analysis', 'data analysis', 'accounting principles', 'financial reporting', 'excel', 'vlookup', 'pivot tables', 'sap', 'power bi', 'lean manufacturing', 'accounting', 'cost accounting']",Mid senior,Sr Cost Accountant
Financial Analysis,"['accounting', 'finance', 'financial analysis', 'financial reporting', 'regulatory reporting', 'ability to work independently and as part of a team']",Mid senior,Accountant/Sr/Technical/Sr Technical - Property
Financial Reporting,"['accounting systems', 'vat returns', 'management accounts', 'financial reporting', 'training', 'client portfolio management', 'excel', 'communication', 'time management', 'delegation', 'problem solving', 'documentation', 'business development']",Mid senior,Semi Senior Outsourcing Management Accountant
Project Management,"['budgeting', 'project management', 'cost accounting', 'contract management', 'microsoft office', 'enterprise resource planning erp systems', 'construction management', 'finance', 'accounting', 'risk management']",Associate,Assistant Project Accountant
Financial Analysis,"['accounting', 'finance', 'financial management', 'financial analysis', 'financial reporting', 'budgeting', 'forecasting', 'audits', 'compliance', 'excel', 'word', 'cpa certification']",Mid senior,Entry Level Accountant
Accounting,"['accounting', 'finance', 'general ledger', 'journal entries', 'account reconciliation', 'financial statements', 'variance analysis', 'tax returns', 'sarbanesoxley sox', 'public accounting', 'cpa', 'communication', 'data analysis', 'critical thinking', 'time management', 'organization', 'problem solving', 'root cause analysis', 'gaap']",Mid senior,Accountant Senior
Attention to Detail,"['senior tax accountant', 'account reconciliation', 'tax planning', 'payroll', 'sales tax returns', 'accounting software', 'microsoft office', 'excel', 'cpa designation', 'accounting principles', 'tax laws', 'problem solving', 'ability to work independently and as part of a team', 'attention to detail', 'accuracy']",Mid senior,Senior Tax Accountant
Accounting Operations,"['general accounting', 'financial reporting', 'gaap', 'financial close process', 'financial statements', 'bank statements', 'bank reconciliation', 'accounts receivable', 'accounts payable', 'tax compliance', 'fixed assets', 'budgeting', 'forecasting', 'financial analysis', 'cost accounting', 'policy development', 'leadership', 'project management', 'analytical skills', 'confidentiality', 'cpa certification', 'background checks']",Mid senior,Controller
Accounting,"['tax accounting', 'financial records', 'income statements', 'tax returns', 'work papers', 'consulting', 'client communication', 'gym membership']",Associate,Staff Tax Accountant
Leadership,"['product strategy', 'process design', 'project management', 'leadership', 'agile development', 'software development']",Mid senior,"Manager, Prod Mgmt, WW Ops Finance S&A"
Problem Solving,[],Mid senior,Auditrice-Auditeur AB en agroalimentaire (Dpt 92)
Risk & Compliance,"['data protection', 'privacy', 'compliance', 'risk management', 'communication', 'communication', 'multitasking', 'project management']",Mid senior,Senior Privacy Compliance Consultant
MS Office,"['accounting', 'gaap', 'accrual accounting', 'bank reconciliation', 'accounts receivable', 'accounts payable', 'fixed assets', 'mortgages', 'loans', 'excel', 'word', 'outlook', 'mri', 'yardi']",Associate,Staff/Senior Property Accountant
Time Management & Organization,"['quickbooks', 'excel', 'bookkeeping', 'administrative support', 'financial systems', 'procedures', 'accounting', 'billing', 'purchase orders', 'bank reconciliation', 'communication', 'teamwork', 'attention to detail', 'selfstarter', 'organization', 'time management', 'microsoft office']",Associate,Finance Assistant
Financial Analysis,"['financial analysis', 'budgeting', 'accounting', 'investing', 'financial reporting', 'general ledger', 'trial balance', 'accruals', 'reporting', 'audits', 'finance', 'accounting', 'excel', 'yardi']",Associate,Financial Analyst (Westchester)
Project Management,"['communication', 'fundraising', 'revenue generation', 'writing', 'communication', 'project management', 'planning', 'evaluation', 'creative thinking', 'teamwork', 'reliable vehicle', 'bilingualism', 'covid19 vaccination', 'reasonable accommodation']",Mid senior,Communications and Fundraising Specialist
Attention to Detail,"['accounting', 'finance', 'journal entries', 'accruals', 'general ledger', 'internal control policies', 'proactive', 'selfmotivated', 'flexible', 'collaborative', 'analytical skills', 'critical thinking', 'problem solving', 'attention to detail', 'accuracy', 'organization', 'prioritization', 'fastpaced environment', 'communication', 'communication', 'power bi']",Mid senior,Senior Accountant Development Accounting
Leadership,"['planning', 'budgeting', 'forecasting', 'performance measurement', 'project management', 'analytical skills', 'problem solving', 'critical thinking', 'strong communication', 'motivation', 'teamwork', 'people development', 'leadership', 'leadership', 'ability to work independently']",Mid senior,Senior Manager-Financial Accounting and Advisory Services- Insurance- Assurance
MS Office,"['tax preparation', 'bookkeeping', 'financial statement preparation', 'accounting theory', 'tax law', 'microsoft office', 'multitasking', 'time management']",Associate,Tax Accountant
Accounting,"['financial data analysis', 'variance analysis', 'account reconciliation', 'journal entry', 'balance sheet', 'financial statement', 'communication', 'communication', 'critical thinking', 'data analysis', 'documentation', 'time management', 'organization', 'issue resolution', 'root cause analysis', 'generally accepted accounting principles gaap', 'sarbanesoxley sox', 'cpa', 'corporate accounting', 'public accounting']",Mid senior,Accountant Senior
Financial Analysis,"['budgeting', 'word', 'data analysis', 'accounting', 'powerpoint', 'financial analysis', 'budget execution', 'us citizenship']",Associate,Financial Analyst
Collaboration,"['accounting', 'financial reporting', 'monthend close', 'audit assistance', 'sage intacct', 'strong excel', 'cpa license', 'erp implementation', 'teamwork', 'analytical skills', 'communication', 'time management', 'resourcefulness', 'entrepreneurial spirit', 'collaboration', 'integrity', 'ethical standards', 'development']",Mid senior,"Accountant Senior | Hybrid in Tampa, FL"
MS Office,"['sql', 'excel', 'word', 'powerpoint', 'tableau', 'crm software', 'financial analysis software', 'data analysis software', 'project management software', 'problem solving', 'analytical skills', 'communication', 'customer service', 'teamwork', 'attention to detail', 'ability to meet deadlines', 'ability to work independently', 'ability to work in a fastpaced environment']",Associate,Financial System Analyst
Project Management,"['data analytics', 'revenue cycle management', 'project management', 'excel', 'salesforce', 'power bi', 'strong analytical', 'creative problemsolving', 'crossfunctional collaboration', 'datadriven decisionmaking', 'stakeholder engagement', 'self motivation', 'detailorientation', 'critical thinking', 'good judgment', 'excellent written and verbal communication']",Associate,Financial Analyst
