job_cluster,skills_filtered,job_level,job_title
Retail & Service,"['automotive parts', 'customer service', 'communication', 'computer', 'phone', 'inventory management', 'sales', 'order processing', 'professional appearance', 'work ethic', 'selfstarter']",Mid senior,Parts Advisor
Analytical Thinking,"['management consulting', 'business analysis', 'problem solving', 'analytical skills', 'leadership', 'communication', 'facilitation', 'conflict resolution', 'consensus building', 'collaboration', 'teamwork', 'adaptability', 'stress tolerance', 'time management', 'problem solving', 'relationship building', 'client management', 'project management', 'data analysis', 'reporting', 'presentation', 'microsoft office', 'excel']",Mid senior,Operations Management Consultant
Time Management,"['ccc one', 'microsoft office products', 'salesmanship', 'organization', 'time management', 'detailoriented']",Mid senior,Collision Service Advisor
Business Development & Customer Acquisition,"['architecture', 'proposal writing', 'technical specifications', 'site inspections', 'peer review', 'client relationships', 'marketing strategy', 'products', 'technical analysis', 'business development', 'travel', 'masters degree', 'modeling', 'tuition reimbursement', '401k match', 'medical insurance', 'dental insurance', 'vision insurance']",Mid senior,Senior Building Envelope Consultant
Retail & Service,"['automotive parts', 'customer service', 'sales', 'telephone', 'organization', 'administration', 'health and safety', 'proactive approach']",Mid senior,Parts Advisor / Workshop Controller
Retail & Service,"['motor trade parts systems', 'communication', 'customer service', 'retail sales']",Mid senior,HGV Parts Advisor
Project Management,"['primavera p6', 'cost analysis', 'construction management', 'engineering']",Mid senior,Construction Claims Consultant
Retail & Service,"['high school diploma', 'valid drivers license', 'sales', 'communication', 'customer service', 'physical strength', 'ability to work flexible hours', 'ability to lift heavy objects', 'ability to climb ladders', 'ability to communicate effectively']",Mid senior,Automotive Customer Service Advisor
Retail & Service,"['customer service', 'communication', 'scheduling', 'estimating', 'maintenance', 'repair orders', 'industry trends', 'customer retention', 'multitasking', 'prioritization', 'efficiency', 'high school diploma or ged', 'valid drivers license']",Mid senior,Service Advisor-Trucks
Retail & Service,"['customer service', 'computer proficiency', 'typing', 'clear communication']",Associate,Associate Service Advisor
Retail & Service,['service advisor'],Mid senior,"Service Advisor in Austin, TX, USA"
Retail & Service,"['service advisor', 'automotive', 'customer service', 'scheduling appointments', 'email communication', 'multitasking', 'fastpaced environment']",Mid senior,RV Service Advisor
Cyber Security,"['react', 'python', 'continuous integration', 'agile', 'scalability', 'aws', 'cloud computing', 'json', 'git', 'jenkins', 'sql', 'nosql', 'agile methodologies', 'jira', 'kanban', 'scrum', 'ansible', 'jenkins', 'docker', 'kubernetes', 'linux', 'iam', 'iam', 'iam', 'iam', 'iam', 'iam', 'iam', 'iam', 'iam']",Mid senior,Contact Centre Advisor
Retail Operations,"['motor trade parts systems', 'customer service', 'retail', 'trade']",Mid senior,Parts Advisor
Retail & Service,"['truck maintenance', 'sustainability', 'work orders', 'suggestive selling', 'otc transactions', 'purchase orders', 'quotes', 'communication', 'cashier', 'customer service', 'repair', 'computer', 'flexible hours', 'drivers license', 'paid training']",Mid senior,Truck Service Advisor I
Adaptability,"['customer service', 'retail', 'team work', 'initiative', 'communication', 'communication', 'problem solving', 'physical fitness', 'willingness to learn', 'adaptability', 'attention to detail', 'time management', 'flexibility', 'ability to work in a fastpaced environment', 'ability to work independently and as part of a team', 'ability to lift heavy objects', 'ability to work weekends and holidays']",Mid senior,Advisor Part Time
Project Management,"['building science', 'consultant', 'energy', 'sustainability', 'roofing', 'investigation', 'autocad', 'specifications', 'construction administration', 'troubleshooting']",Mid senior,Experienced Building Enclosure Consultant
Attention to Detail,"['customer service', 'sales', 'travel arrangements', 'travel insurance', 'financial products', 'sales goals', 'training and development', 'microsoft office', 'accounting', 'listening', 'customer service', 'flexibility', 'organization', 'phone etiquette', 'time management', 'attention to detail', 'multitasking', 'mathematical calculations', 'problem solving', 'interpretation', 'report writing', 'presentation', 'medical insurance', 'dental insurance', 'vision insurance', 'paid time off', 'life insurance', 'paid volunteer time', 'tuition reimbursement', 'employee discounts', 'diversity', 'inclusion', 'community involvement', 'volunteerism']",Mid senior,Travel Advisor-Hershey Office-Hybrid
MS Office,['energy efficiency'],Mid senior,"Energy Analyst and Green Building Consultant Verifier in Midlothian, VA, USA"
Project Management,"['report writing', 'project management', 'property', 'construction', 'flexible working', 'client satisfaction', 'career development', 'competitive salary', 'qualification']",Mid senior,Building Services Consultant
Retail & Service,"['customer service', 'computer literacy', 'phone communication', 'organization', 'administrative', 'filing']",Mid senior,Service Advisor Motor Trade Job
Collaboration,"['specifications', 'technical expertise', 'bluebeam', 'revit', 'autocad', 'building codes', 'project management', 'project scheduling', 'presentation', 'professional demeanor', 'lifelong learning', 'mentoring', 'client relationships', 'teamwork', 'collaboration', 'innovative thinking', 'process improvement', 'equal opportunity employer', 'diversity']",Mid senior,Building Enclosure Consultant
Attention to Detail,"['automotive', 'data entry', 'jd edwards', 'spreadsheets', 'word processing', 'microsoft excel', 'microsoft word', 'outlook', 'customer service', 'attention to detail', 'problem solving', 'communication', 'teamwork', 'high school diploma or ged', 'drug test', 'vision', 'hearing']",Mid senior,Fleet Service Advisor
Problem Solving,"['recruitment', 'sales', 'it', 'organization', 'communication', 'customer relationship management', 'problem solving', 'microsoft office', 'construction', 'construction industry', 'commissionbased pay']",Mid senior,Recruitment Consultant - Construction
Attention to Detail,"['customer service', 'communication', 'administrative', 'time management', 'attention to detail', 'organization', 'problem solving', 'mechanical aptitude', 'invoicing']",Mid senior,Service Advisor
MS Office,"['netsuite', 'erp', 'data conversion', 'reporting', 'accounting', 'customer support']",Mid senior,Senior Intacct Implementation Consultant
MS Office,"['microsoft office', 'communication', 'customer service', 'motor vehicle operation', 'physical fitness', 'teamoriented', 'commission', 'bonus', 'profit sharing', 'paid time off', 'medical', 'dental', 'vision', '401k match']",Mid senior,Tire Service Advisor
MS Office,"['civil engineering', 'construction management', 'autocad', 'revit', 'microsoft office', 'communication']",Mid senior,Facade Consultant
Attention to Detail,"['customer service', 'problem solving', 'communication', 'organization', 'time management', 'multitasking', 'written and verbal communication', 'mathematics', 'physical exertion', 'minimum age of 21', 'high school diploma or ged', 'attention to detail']",Mid senior,Service Advisor III
Retail Operations,"['customer service', 'retail sales', 'problem solving', 'sales targets', 'retail']",Mid senior,Customer Services Advisor
Attention to Detail,"['customer service', 'hospitality', 'housekeeping', 'communication', 'teamwork', 'fastpaced environment', 'flexibility', 'attention to detail', 'cash handling', 'pos systems']",Mid senior,Restaurant Customer Advisor
Attention to Detail,"['customer service', 'stocking', 'inventory control', 'order processing', 'vendor management', 'quality control', 'communication', 'attention to detail', 'accuracy']",Mid senior,Parts Consultant
Sales,"['sales', 'budget management', 'sales', 'drivers license', 'travel willingness', 'flexible work hours']",Mid senior,Heavy Equipment Parts & Service Advisor
Retail & Service,"['customer service', 'sales', 'communication', 'documentation', 'service advisor', 'multitasking', 'conflict resolution', 'communication', 'communication', 'medical insurance', 'dental insurance', 'vision insurance', '401k', 'life insurance']",Mid senior,Service Advisor
Analytical Thinking,"['engineering', 'architecture', 'site inspections', 'reporting', 'financial planning', 'budgeting', 'presentation', 'communication', 'analytical skills', 'strong attention to detail', 'college degree']",Mid senior,Construction Project Consultant
Negotiation,"['management consulting', 'business planning', 'project planning', 'erp implementation', 'data analysis', 'program development', 'problem solving', 'communication', 'stakeholder engagement', 'leadership', 'negotiation', 'strategic thinking', 'bachelors degree']",Mid senior,Management Consultant
